농가 번호,농가 명,입고일자,등급 판정 결과,중량 (g),"크기 (대,중,소)","연근(4,5,6년근)",등외품,재투입,불량,최종 분류
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,46,중,4년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,51,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,82,중,6년근,0,0,0,중삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,45,소,5년근,0,0,0,실실이
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,86,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,36,소,4년근,0,0,0,믹사
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,76,소,6년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,38,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,50,소,5년근,0,0,0,믹사
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,94,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,70,소,6년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,114,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,93,중,6년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,108,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,50,소,5년근,0,0,0,믹사
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,53,대,4년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,51,중,5년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,63,중,5년근,0,0,0,중삼계
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,47,중,4년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,92,중,6년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,114,대,6년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,59,대,4년근,0,0,1,대난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,106,대,6년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,49,중,4년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,48,소,5년근,0,0,0,실실이
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,107,대,6년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,87,중,6년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,81,대,5년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,110,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,60,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,61,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,38,소,4년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,48,중,5년근,1,0,0,파삼
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,55,대,4년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,96,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,85,중,6년근,0,0,0,중삼계
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,113,대,6년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,95,중,6년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,105,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,31,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,65,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,76,소,6년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,94,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,38,소,4년근,0,0,0,믹사
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,37,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,73,대,5년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,31,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,74,소,6년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,75,소,6년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,72,대,5년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,99,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,36,소,4년근,0,0,0,믹사
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,40,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,111,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,63,중,5년근,0,0,1,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,89,대,5년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,46,중,4년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,92,대,5년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,113,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,80,소,6년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,41,중,4년근,0,0,0,중삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,46,소,5년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,33,소,4년근,0,0,0,소삼계
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,31,소,4년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,44,중,4년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,113,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,35,소,4년근,0,0,0,실실이
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,96,대,6년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,70,소,6년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,54,중,5년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,59,중,5년근,0,0,0,짠짠이
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,40,소,4년근,0,0,0,실실이
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,84,중,6년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,96,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,110,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 소,71,소,6년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,92,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,96,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,55,중,5년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,99,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,62,대,4년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,81,중,6년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,98,대,6년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,59,대,4년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,57,대,4년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,51,중,5년근,0,0,0,중난발
2025010608?,삼부자네 농장?,2025-01-16?,4년근 소,31,소,4년근,1,0,0,파삼
2025010608?,삼부자네 농장?,2025-01-16?,4년근 중,40,중,4년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,65,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,113,대,6년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,5년근 중,54,중,5년근,0,0,0,중
2025010608?,삼부자네 농장?,2025-01-16?,6년근 중,84,중,6년근,0,0,0,중삼계
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,72,대,5년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,5년근 소,41,소,5년근,0,0,0,소
2025010608?,삼부자네 농장?,2025-01-16?,5년근 대,69,대,5년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,56,대,4년근,0,0,0,대난발
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,114,대,6년근,0,0,0,대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,57,대,4년근,0,0,0,특대
2025010608?,삼부자네 농장?,2025-01-16?,6년근 대,109,대,6년근,0,0,0,왕왕대
2025010608?,삼부자네 농장?,2025-01-16?,4년근 대,53,대,4년근,0,0,0,특대
